1363,CT ENVIRONMENTAL GROUP LTD,1363,HKD
1365,CHINA RUNDONG AUTO GROUP LTD,1365,HKD
1366,JIANGNAN GROUP LTD,1366,HKD
1367,SFUND INTERNATIONAL HOLDINGS,1367,HKD
1368,XTEP INTERNATIONAL HOLDINGS,1368,HKD
1369,WUZHOU INTERNATIONAL HOLDING,1369,HKD
137,JINHUI HOLDINGS COMPANY LTD,137,HKD
1370,AOWEI HOLDINGS LTD,1370,HKD
1371,CHINA LOTSYNERGY HLDG LTD,1371,HKD
1372,BISU TECHNOLOGY GROUP INTERN,1372,HKD
1373,INTERNATIONAL HOUSEWARES RET,1373,HKD
1375,CENTRAL CHINA SECURITIES C-H,1375,HKD
1378,CHINA HONGQIAO GROUP LTD,1378,HKD
1379,WENLING ZHEJIANG MEASURING-H,1379,HKD
138,CCT FORTIS HOLDINGS LTD,138,HKD
1380,CHINA KINGSTONE MINING HOLDI,1380,HKD
1381,CANVEST ENVIRONMENTAL PROTEC,1381,HKD
1382,PACIFIC TEXTILES HOLDINGS,1382,HKD
1383,SUNCITY GROUP HOLDINGS LTD,1383,HKD
1385,SHANGHAI FUDAN MICROELECT-H,1385,HKD
1386,VESTATE GROUP,1386,HKD
1387,CHINA DILI GROUP,1387,HKD
1388,EMBRY HOLDINGS LTD,1388,HKD
1389,MAJOR HOLDINGS LTD,1389,HKD
139,CENTRAL WEALTH GROUP HOLDINGS,139,HKD
1393,HIDILI INDUSTRY INTL DEVELOP,1393,HKD
1395,ELL ENVIRONMENTAL HOLDINGS L,1395,HKD
1396,HYDOO INTERNATIONAL HOLDING,1396,HKD
1397,BAGUIO GREEN GROUP LTD,1397,HKD
1398,IND &amp; COMM BK OF CHINA - H,1398,HKD
1399,SCUD GROUP LTD,1399,HKD
14,HYSAN DEVELOPMENT CO,14,HKD
1400,MOODY TECHNOLOGY HOLDINGS LT,1400,HKD
1401,SPROCOMM INTELLIGENCE LTD,1401,HKD
141,SKY CHINAFORTUNE HOLDINGS GR,141,HKD
1415,COWELL E HOLDINGS INC,1415,HKD
1417,RIVERINE CHINA HOLDINGS LTD,1417,HKD
1418,SINOMAX GROUP LTD,1418,HKD
1419,HUMAN HEALTH HOLDINGS LTD,1419,HKD
142,FIRST PACIFIC CO,142,HKD
1420,CHUAN HOLDINGS LTD,1420,HKD
1421,KINGBO STRIKE LTD,1421,HKD
1426,SPRING REAL ESTATE INVESTMEN,1426,HKD
1427,CHINA TIANBAO GROUP DEVELOPM,1427,HKD
1428,BRIGHT SMART SECURITIES AND,1428,HKD
143,GUOAN INTERNATIONAL LTD,143,HKD
1430,SUCHUANG GAS CORP LTD,1430,HKD
1431,YUANSHENGTAI DAIRY FARM LTD,1431,HKD
1432,CHINA SHENGMU ORGANIC MILK,1432,HKD
1439,MOBILE INTERNET CHINA HOLDIN,1439,HKD
144,CHINA MERCHANTS PORT HOLDING,144,HKD
1443,FULUM GROUP HOLDINGS LTD,1443,HKD
1446,HUNG FOOK TONG GROUP HOLDING,1446,HKD
1447,SFK CONSTRUCTION HOLDINGS,1447,HKD
1448,FU SHOU YUAN INTERNATIONAL,1448,HKD
145,HONG KONG BUILDING &amp; LOAN,145,HKD
1450,CENTURY SAGE SCIENTIFIC HOLD,1450,HKD
1451,MS GROUP HOLDINGS LTD,1451,HKD
1452,DENOX ENVIRONMENTAL &amp; TECHNO,1452,HKD
1456,GUOLIAN SECURITIES CO LTD-H,1456,HKD
1458,ZHOU HEI YA INTERNATIONAL HO,1458,HKD
1459,JUJIANG CONSTRUCTION GROUP-H,1459,HKD
146,TAI PING CARPETS INTERNATION,146,HKD
1460,ICO GROUP LTD,1460,HKD
1461,LUZHENG FUTURES CO LTD-H,1461,HKD
1462,GOLD-FINANCE HOLDINGS LTD,1462,HKD
1466,AFFLUENT PARTNERS HOLDINGS,1466,HKD
1468,UKF HOLDINGS LTD,1468,HKD
1469,GET NICE FINANCIAL GROUP LTD,1469,HKD
147,INTERNATIONAL BUSINESS SETTL,147,HKD
1470,PROSPER ONE INTERNATIONAL HO,1470,HKD
1475,NISSIN FOODS CO LTD,1475,HKD
1476,HENGTAI SECURITIES CO LTD-H,1476,HKD
1478,Q TECHNOLOGY GROUP CO LTD,1478,HKD
148,KINGBOARD HOLDINGS LTD,148,HKD
1480,YAN TAT GROUP HOLDINGS LTD,1480,HKD
1483,U BANQUET GROUP HOLDING LTD,1483,HKD
1486,C CHENG HOLDINGS LTD,1486,HKD
1488,BEST FOOD HOLDING COMPANY LT,1488,HKD
149,CHINA AGRI-PRODUCTS EXCHANGE,149,HKD
1492,CHINA ZHONGDI DAIRY HOLDINGS,1492,HKD
1495,JIYI HOUSEHOLD INTERNATIONAL,1495,HKD
1496,AP RENTALS HOLDINGS LTD,1496,HKD
1498,PURAPHARM CORP LTD,1498,HKD
1499,LEAP HOLDINGS GROUP LTD,1499,HKD
15,VANTAGE INTERNATIONAL,15,HKD
150,HYPEBEAST LTD,150,HKD
1500,IN CONSTRUCTION HOLDINGS LTD,1500,HKD
1501,SHANGHAI KINDLY INSTRUMENT-H,1501,HKD
